 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.40000E+03 eV = 5.14491E+01 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 9.18559E+00
 #
 # Total elastic cross section = 1.07844E-16 cm**2 = 3.85118E+00 a0**2
 # 1st transport cross section = 6.82219E-18 cm**2 = 2.43625E-01 a0**2
 # 2nd transport cross section = 1.23646E-17 cm**2 = 4.41547E-01 a0**2
 #
 #    Absorption cross section = 7.08814E-17 cm**2 = 2.53122E+00 a0**2
 #   Grand total cross section = 1.78731E-16 cm**2 = 6.38259E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.98846E-15  2.13852E+02  0.00000E+00  6.6E-05
  1.000E-04  7.61557E-13  5.98846E-15  2.13852E+02  1.28888E-10  6.6E-05
  1.250E-04  1.18994E-12  5.98846E-15  2.13852E+02  1.61110E-10  6.6E-05
  1.500E-04  1.71346E-12  5.98846E-15  2.13852E+02  1.93332E-10  6.6E-05
  1.750E-04  2.33225E-12  5.98846E-15  2.13852E+02  2.25554E-10  6.6E-05
  2.000E-04  3.04617E-12  5.98845E-15  2.13852E+02  2.57776E-10  6.6E-05
  2.250E-04  3.85530E-12  5.98845E-15  2.13852E+02  2.89998E-10  6.6E-05
  2.500E-04  4.75964E-12  5.98845E-15  2.13852E+02  3.22220E-10  6.6E-05
  2.750E-04  5.75917E-12  5.98845E-15  2.13852E+02  3.54442E-10  6.6E-05
  3.000E-04  6.85391E-12  5.98845E-15  2.13852E+02  3.86664E-10  6.6E-05
  3.250E-04  8.04379E-12  5.98845E-15  2.13852E+02  4.18886E-10  6.6E-05
  3.500E-04  9.32893E-12  5.98845E-15  2.13852E+02  4.51108E-10  6.6E-05
  3.750E-04  1.07092E-11  5.98845E-15  2.13852E+02  4.83330E-10  6.6E-05
  4.000E-04  1.21847E-11  5.98845E-15  2.13852E+02  5.15552E-10  6.6E-05
  4.250E-04  1.37554E-11  5.98845E-15  2.13852E+02  5.47774E-10  6.6E-05
